Kaynak,Tuketim,Tarih,YIL
Lignite,3624.85489393,2022-09-01,2022
Liquid Fuels,17.447796999999998,2022-09-01,2022
Doğal Gaz + LNG,7551.732588330001,2022-09-01,2022
Yenilenebilir + Atık,771.8740103639999,2022-09-01,2022
Termik,18444.536710624005,2022-09-01,2022
Hidrolik,3935.99813770712,2022-09-01,2022
Jeotermal + Rüzgar + Güneş,5111.481407998999,2022-09-01,2022
Brüt Üretim,27492.016256330124,2022-09-01,2022
Taşkömürü + İthal Kömür,6885.921283080001,2022-10-01,2022
Lignite,3838.45934712,2022-10-01,2022
Liquid Fuels,16.934258,2022-10-01,2022
Doğal Gaz + LNG,5050.62623600716,2022-10-01,2022
Yenilenebilir + Atık,769.8486471630058,2022-10-01,2022
Termik,16561.789771370168,2022-10-01,2022
Hidrolik,3298.0858696155,2022-10-01,2022
Jeotermal + Rüzgar + Güneş,5582.960324103251,2022-10-01,2022
Brüt Üretim,25442.83596508892,2022-10-01,2022
Taşkömürü + İthal Kömür,7344.20941404,2022-11-01,2022
Lignite,3705.59266871,2022-11-01,2022
Liquid Fuels,42.08955547,2022-11-01,2022
Doğal Gaz + LNG,4886.4851997,2022-11-01,2022
Yenilenebilir + Atık,825.4659382318706,2022-11-01,2022
Termik,16803.842776151872,2022-11-01,2022
Hidrolik,3155.03263508934,2022-11-01,2022
Jeotermal + Rüzgar + Güneş,4945.413078412629,2022-11-01,2022
Brüt Üretim,24904.28848965384,2022-11-01,2022
Taşkömürü + İthal Kömür,7529.19496789,2022-12-01,2022
Lignite,3952.49772865,2022-12-01,2022
Liquid Fuels,42.60222915,2022-12-01,2022
Doğal Gaz + LNG,6703.51740422,2022-12-01,2022
Yenilenebilir + Atık,863.6195220504236,2022-12-01,2022
Termik,19091.43185196042,2022-12-01,2022
Hidrolik,3277.61587196665,2022-12-01,2022
Jeotermal + Rüzgar + Güneş,4442.165668671061,2022-12-01,2022
Brüt Üretim,26811.21339259813,2022-12-01,2022
Taşkömürü + İthal Kömür,7445.579623629999,2023-01-01,2023
Lignite,4005.82023115,2023-01-01,2023
Liquid Fuels,43.834723237,2023-01-01,2023
Doğal Gaz + LNG,7233.225085661106,2023-01-01,2023
Yenilenebilir + Atık,872.5705607864,2023-01-01,2023
Termik,19601.030224464503,2023-01-01,2023
Hidrolik,2963.1632751117,2023-01-01,2023
Jeotermal + Rüzgar + Güneş,4765.599290106,2023-01-01,2023
Brüt Üretim,27329.792789682208,2023-01-01,2023
Taşkömürü + İthal Kömür,6013.25587543,2023-02-01,2023
Lignite,3299.5862315900004,2023-02-01,2023
Liquid Fuels,46.697971563,2023-02-01,2023
Doğal Gaz + LNG,6932.14144703842,2023-02-01,2023
Yenilenebilir + Atık,720.1161210267001,2023-02-01,2023
Termik,17011.79764664812,2023-02-01,2023
Hidrolik,2420.1682947695995,2023-02-01,2023
Jeotermal + Rüzgar + Güneş,5008.426685026567,2023-02-01,2023
Brüt Üretim,24440.392626444285,2023-02-01,2023
Taşkömürü + İthal Kömür,6216.97662961,2023-03-01,2023
Lignite,3341.54943645,2023-03-01,2023
Liquid Fuels,44.73179817900001,2023-03-01,2023
Doğal Gaz + LNG,5260.0144033272045,2023-03-01,2023
Yenilenebilir + Atık,827.4908038147,2023-03-01,2023
Termik,15690.763071380905,2023-03-01,2023
Hidrolik,5353.886055671,2023-03-01,2023
Jeotermal + Rüzgar + Güneş,5490.528564568,2023-03-01,2023
Brüt Üretim,26535.1776916199,2023-03-01,2023
Taşkömürü + İthal Kömür,4154.95016729,2023-04-01,2023
Lignite,2799.23722666,2023-04-01,2023
Liquid Fuels,43.14550995399999,2023-04-01,2023
Doğal Gaz + LNG,3826.180245825555,2023-04-01,2023
Yenilenebilir + Atık,832.8739056940999,2023-04-01,2023
Termik,11656.387055423656,2023-04-01,2023
Hidrolik,7437.85143779,2023-04-01,2023
Jeotermal + Rüzgar + Güneş,5182.7594387115005,2023-04-01,2023
Brüt Üretim,24276.99793192516,2023-04-01,2023
Taşkömürü + İthal Kömür,4742.12211154,2023-05-01,2023
Lignite,3105.92904928,2023-05-01,2023
Liquid Fuels,37.6629364,2023-05-01,2023
Doğal Gaz + LNG,4947.358486220409,2023-05-01,2023
Yenilenebilir + Atık,856.5588858881,2023-05-01,2023
Termik,13689.631469328508,2023-05-01,2023
Hidrolik,7518.722219447001,2023-05-01,2023
Jeotermal + Rüzgar + Güneş,5459.723865755999,2023-05-01,2023
Brüt Üretim,26668.077554531512,2023-05-01,2023
Taşkömürü + İthal Kömür,5715.77096051,2023-06-01,2023
Lignite,3385.54554769,2023-06-01,2023
Liquid Fuels,33.644447811,2023-06-01,2023
Doğal Gaz + LNG,2526.8931900482467,2023-06-01,2023
Yenilenebilir + Atık,829.3749062139,2023-06-01,2023
Termik,12491.229052273144,2023-06-01,2023
Hidrolik,7554.065683418001,2023-06-01,2023
Jeotermal + Rüzgar + Güneş,5506.709651662,2023-06-01,2023
Brüt Üretim,25552.004387353147,2023-06-01,2023
Taşkömürü + İthal Kömür,7605.70689737,2023-07-01,2023
Lignite,3717.71544929,2023-07-01,2023
Liquid Fuels,36.017482523999995,2023-07-01,2023
Doğal Gaz + LNG,6863.4960726619165,2023-07-01,2023
Yenilenebilir + Atık,844.6554654429001,2023-07-01,2023
Termik,19067.591367288813,2023-07-01,2023
Hidrolik,6512.5934820355,2023-07-01,2023
Jeotermal + Rüzgar + Güneş,6713.372840271,2023-07-01,2023
Brüt Üretim,32293.557689595316,2023-07-01,2023
